typeID	物品名称
687	狞獾级蓝图
688	乌鸦级蓝图
689	伐木者级蓝图
690	探索级蓝图
691	裂谷级蓝图
692	刺刀级蓝图
693	狂暴级蓝图
784	采矿器蓝图 II
785	采矿器蓝图 I
786	轻型导弹发射器蓝图 I
788	重型导弹发射器蓝图 I
790	鱼雷发射器蓝图 I
803	雷神巡航导弹蓝图
804	鞭挞巡航导弹蓝图
805	炼狱巡航导弹蓝图
806	星爆巡航导弹蓝图
807	星爆重型导弹蓝图
808	雷神重型导弹蓝图
809	炼狱重型导弹蓝图
810	鞭挞重型导弹蓝图
811	鞭挞轻型导弹蓝图
812	炼狱轻型导弹蓝图
813	雷神轻型导弹蓝图
814	星爆轻型导弹蓝图
819	125mm加特林自动加农炮蓝图 I
820	150mm轻型自动加农炮蓝图 I
821	200mm自动加农炮蓝图 I
822	250mm轻型加农炮蓝图 I
823	280mm榴弹炮蓝图 I
824	双联180mm自动加农炮蓝图 I
825	220mm火神自动加农炮蓝图 I
826	425mm自动加农炮蓝图 I
827	650mm加农炮蓝图 I
828	720mm榴弹炮蓝图 I
829	双联425mm自动加农炮蓝图 I
830	双联650mm频射加农炮蓝图 I
831	800mm频射加农炮蓝图 I
832	1200mm加农炮蓝图 I
833	1400mm榴弹炮蓝图 I
834	加特林脉冲激光器蓝图 I
835	双联轻型脉冲激光器蓝图 I
836	双联轻型集束激光器蓝图 I
837	小型聚焦脉冲激光器 I 蓝图
838	小型聚焦集束激光器 I 蓝图
839	四联轻型集束激光器蓝图 I
840	聚焦中型脉冲激光器蓝图 I
841	聚焦中型集束激光器蓝图 I
842	重型脉冲激光器蓝图 I
843	重型集束激光器蓝图 I
844	双联重型脉冲激光器蓝图 I
845	双联重型集束激光器蓝图 I
846	超级脉冲激光器蓝图 I
847	超级集束激光器蓝图 I
848	超光速粒子集束激光器蓝图 I
879	碳铅弹蓝图 S
880	核芯弹蓝图 S
881	质子弹蓝图 S
882	硬钼弹蓝图 S
883	钛合金萨博弹蓝图 S
884	聚变弹蓝图 S
885	定相等离子弹蓝图 S
886	电磁脉冲弹蓝图 S
887	碳铅弹蓝图 M
888	核芯弹蓝图 M
889	质子弹蓝图 M
890	硬钼弹蓝图 M
891	钛合金萨博弹蓝图 M
892	聚变弹蓝图 M
893	定相等离子弹蓝图 M
894	电磁脉冲弹蓝图 M
895	碳铅弹蓝图 L
896	核芯弹蓝图 L
897	质子弹蓝图 L
898	硬钼弹蓝图 L
899	钛合金萨博弹蓝图 L
900	聚变弹蓝图 L
901	定相等离子弹蓝图 L
902	电磁脉冲弹蓝图 L
936	刽子手级蓝图
937	检察官级蓝图
938	巨神兵级蓝图
939	纳维达斯级蓝图
940	特里斯坦级蓝图
941	因卡萨斯级蓝图
944	惩罚者级蓝图
945	分裂者级蓝图
946	爆发级蓝图
949	茶隼级蓝图
950	小鹰级蓝图
952	苍鹭级蓝图
954	伊米卡斯级蓝图
955	阿特龙级蓝图
956	毛鲁斯级蓝图
967	加达里穿梭机蓝图
968	巨鸟级蓝图
969	暴君级蓝图
970	奥格诺级蓝图
971	狂怒者级蓝图
972	托勒克斯级蓝图
973	主宰级蓝图
974	断崖级蓝图
975	挑战级蓝图
976	镰刀级蓝图
977	黑鸟级蓝图
978	星空级蓝图
979	送葬者级蓝图
983	獾级蓝图
984	狐鼬级蓝图
985	涅鲁斯级蓝图
986	囤积者级蓝图
987	猛犸级蓝图
988	环绕级蓝图
989	克琉斯级蓝图
990	埃比斯级蓝图
991	米亚莫斯级蓝图
992	伊特龙级MKV蓝图
994	毒蝎级蓝图
995	万王宝座级蓝图
996	灾难级蓝图
997	末日沙场级蓝图
998	台风级蓝图
999	多米尼克斯级蓝图
1002	俄洛巴斯级蓝图
1010	小型护盾扩展装置蓝图 I
1013	小型护盾扩展装置蓝图 II
1026	护盾回充器蓝图 I
1027	护盾回充器蓝图 II
1032	小型护盾回充增量器蓝图 I
1033	小型护盾回充增量器蓝图 II
1067	5MN微型跃迁推进器蓝图 I
1071	1MN加力燃烧器蓝图 II
1072	1MN加力燃烧器蓝图 I
1073	5MN微型跃迁推进器蓝图 II
1074	货柜扫描器蓝图 I
1075	船体扫描器蓝图 I
1076	测量扫描器蓝图 I
1079	跃迁扰频器蓝图 I
1080	跃迁扰频器蓝图 II
1095	回转稳定器蓝图 II
1096	回转稳定器蓝图 I
1099	小型装甲维修器蓝图 I
1100	小型结构维修器蓝图 I
1102	停滞缠绕光束蓝图 I
1103	停滞缠绕光束蓝图 II
1105	小型远程电容传输装置蓝图 I
1106	小型掠能器蓝图 I
1109	小型能量中和器蓝图 I
1112	75mm加特林磁轨炮蓝图 I
1113	轻型电子疾速炮蓝图 I
1114	轻型离子疾速炮蓝图 I
1115	轻型中子疾速炮蓝图 I
1116	150mm磁轨炮蓝图 I
1117	重型电子疾速炮蓝图 I
1118	双联150mm磁轨炮蓝图 I
1119	重型中子疾速炮蓝图 I
1120	重型离子疾速炮蓝图 I
1121	250mm磁轨炮蓝图 I
1122	电子疾速加农炮蓝图 I
1123	双联250mm磁轨炮蓝图 I
1124	中子疾速加农炮蓝图 I
1125	425mm磁轨炮蓝图 I
1126	离子疾速加农炮蓝图 I
1128	中型电容注电器蓝图 I
1129	多谱式护盾增强器蓝图 I
1130	铁质轨道弹蓝图 S
1131	钨质轨道弹蓝图 S
1132	铱质轨道弹蓝图 S
1133	铅质轨道弹蓝图 S
1134	钍质轨道弹蓝图 S
1135	钼质轨道弹蓝图 S
1136	锰质轨道弹蓝图 S
1137	反物质轨道弹蓝图 S
1138	铁质轨道弹蓝图 M
1139	钨质轨道弹蓝图 M
1140	铱质轨道弹蓝图 M
1141	铅质轨道弹蓝图 M
1142	钍质轨道弹蓝图 M
1143	钼质轨道弹蓝图 M
1144	锰质轨道弹蓝图 M
1145	反物质轨道弹蓝图 M
1146	铁质轨道弹蓝图 L
1147	钨质轨道弹蓝图 L
1148	铱质轨道弹蓝图 L
1149	铅质轨道弹蓝图 L
1150	钍质轨道弹蓝图 L
1151	钼质轨道弹蓝图 L
1152	锰质轨道弹蓝图 L
1153	反物质轨道弹蓝图 L
1154	射频晶体蓝图 S
1155	微波晶体蓝图 S
1156	红外晶体蓝图 S
1157	标准晶体蓝图 S
1158	紫外晶体蓝图 S
1159	X射线晶体蓝图 S
1160	伽玛晶体蓝图 S
1161	多频晶体蓝图 S
1162	射频晶体蓝图 M
1163	微波晶体蓝图 M
1164	红外晶体蓝图 M
1165	标准晶体蓝图 M
1166	紫外晶体蓝图 M
1167	X射线晶体蓝图 M
1168	伽玛晶体蓝图 M
1169	多频晶体蓝图 M
1170	射频晶体蓝图 L
1171	微波晶体蓝图 L
1172	红外晶体蓝图 L
1173	标准晶体蓝图 L
1174	紫外晶体蓝图 L
1175	X射线晶体蓝图 L
1176	伽玛晶体蓝图 L
1177	多频晶体蓝图 L
1178	高速电容注电器装料—25蓝图
1179	高速电容注电器装料—50蓝图
1182	自动锁定系统 I
1183	小型装甲维修器 II
1184	小型装甲维修器蓝图 II
1185	小型电容器电池 I
1186	小型电容器电池蓝图 I
1190	小型远程电容传输装置 II
1191	小型远程电容传输装置蓝图 II
1192	基础型超载喷注系统
1193	基础型电磁涂层
1195	电容回充器 I
1196	电容回充器蓝图 I
1197	电磁涂层 I
1198	电磁涂层 II
1201	胡蜂 I
1202	民用采矿无人机
1204	电磁涂层蓝图 I
1205	电磁涂层蓝图 II
1208	自动锁定系统蓝图 I
1210	脉冲干扰器蓝图 I
1212	被动锁定器蓝图 I
1214	胡蜂蓝图 I
1216	雷神自动锁定轻型导弹蓝图 I
1218	民用采矿无人机蓝图
1220	鞭挞火箭蓝图
1221	鞭挞鱼雷蓝图
1223	双多特石
1224	干焦岩
1225	克洛基石
1226	杰斯贝矿
1227	奥贝尔石
1228	灼烧岩
1229	片麻岩
1230	凡晶石
1231	希莫非特
1232	黑赭石
1236	超载喷注系统 II
1237	超载喷注系统蓝图 II
1240	基础型强化舱隔壁
1242	基础型纳米纤维内部构架
1244	超载喷注系统 I
1245	超载喷注系统蓝图 I
1246	电容通量线圈 I
1247	电容通量线圈蓝图 I
1248	电容通量线圈 II
1249	电容通量线圈蓝图 II
1254	护盾通量线圈 I
1255	护盾通量线圈蓝图 I
1256	护盾通量线圈 II
1257	护盾通量线圈蓝图 II
1262	基础型爆炸涂层
1264	爆炸涂层 I
1265	爆炸涂层蓝图 I
1266	爆炸涂层 II
1267	爆炸涂层蓝图 II
1272	基础型覆层式涂层
1274	覆层式涂层 I
1275	覆层式涂层蓝图 I
1276	覆层式涂层 II
1277	覆层式涂层蓝图 II
1282	基础型动能涂层
1284	动能涂层 I
1285	动能涂层蓝图 I
1286	动能涂层 II
1287	动能涂层蓝图 II
1292	基础型热能涂层
1294	热能涂层 I
1295	热能涂层蓝图 I
1296	热能涂层 II
1297	热能涂层蓝图 II
1302	基础型多谱式涂层
1304	多谱式涂层 I
1305	多谱式涂层蓝图 I
1306	多谱式涂层 II
1307	多谱式涂层蓝图 II
1315	基础型扩充货柜舱
1317	扩充货柜舱 I
1318	扩充货柜舱蓝图 I
1319	扩充货柜舱 II
1320	扩充货柜舱蓝图 II
1333	强化舱隔壁 I
1334	强化舱隔壁蓝图 I
1335	强化舱隔壁 II
1336	强化舱隔壁蓝图 II
1351	基础型反应堆控制组件
1353	反应堆控制元件 I
1354	反应堆控制元件蓝图 I
1355	反应堆控制元件 II
1356	反应堆控制元件蓝图 II
1401	基础型惯性稳定器
1403	惯性稳定器 I
1404	惯性稳定器蓝图 I
1405	惯性稳定器 II
1406	惯性稳定器蓝图 II
1419	基础护盾能源继电器
1422	护盾能源继电器 II
1423	护盾能源继电器蓝图 II
1436	自动锁定系统 II
1437	自动锁定系统蓝图 II
1445	电容能源继电器 I
1446	电容能源继电器蓝图 I
1447	电容能源继电器 II
1448	电容能源继电器蓝图 II
1537	基础型能源诊断系统
1539	能源诊断系统 I
1540	能源诊断系统蓝图 I
1541	能源诊断系统 II
1542	能源诊断系统蓝图 II
1547	小型质子立体炸弹 I
1548	小型质子立体炸弹蓝图 I
1549	小型质子立体炸弹 II
1550	小型质子立体炸弹蓝图 II
1551	小型引力子立体炸弹 I
1552	小型引力子立体炸弹蓝图 I
1553	小型引力子立体炸弹 II
1554	小型引力子立体炸弹蓝图 II
1557	小型等离子立体炸弹 I
1558	小型等离子立体炸弹蓝图 I
1559	小型等离子立体炸弹 II
1560	小型等离子立体炸弹蓝图 II
1563	小型EMP立体炸弹 I
1564	小型EMP立体炸弹蓝图 I
1565	小型EMP立体炸弹 II
1566	小型EMP立体炸弹蓝图 II
1798	'基础'电磁护盾增效器
1800	'基础'热能护盾增效器
1802	'基础'动能护盾增效器
1804	'基础'爆炸护盾增效器
1808	电磁护盾增效器 I
1809	电磁护盾增效器蓝图 I
1810	鞭挞自动锁定轻型导弹 I
1811	鞭挞自动锁定轻型导弹蓝图 I
1814	星爆自动锁定轻型导弹 I
1815	星爆自动锁定轻型导弹蓝图 I
1816	炼狱自动锁定轻型导弹 I
1817	炼狱自动锁定轻型导弹蓝图 I
1818	鞭挞自动锁定重型导弹 I
1819	鞭挞自动锁定重型导弹蓝图 I
1820	雷神自动锁定重型导弹 I
1821	雷神自动锁定重型导弹蓝图 I
1822	星爆自动锁定重型导弹 I
1823	星爆自动锁定重型导弹蓝图 I
1824	炼狱自动锁定重型导弹 I
1825	炼狱自动锁定重型导弹蓝图 I
1826	鞭挞自动锁定巡航导弹 I
1827	鞭挞自动锁定巡航导弹蓝图 I
1828	雷神自动锁定巡航导弹 I
1829	雷神自动锁定巡航导弹蓝图 I
1830	星爆自动锁定巡航导弹 I
1831	星爆自动锁定巡航导弹蓝图 I
1832	炼狱自动锁定巡航导弹 I
1833	炼狱自动锁定巡航导弹蓝图 I
1855	船体扫描器 II
1856	船体扫描器蓝图 II
1875	轻型快速导弹发射器 I
1876	轻型快速导弹发射器蓝图 I
1877	轻型快速导弹发射器 II
1878	轻型快速导弹发射器蓝图 II
1893	基础型散热槽
1944	恩赐者级
1945	恩赐者级蓝图
1948	磁力ECM I
1949	基础型信号放大器
1951	基础型索敌增强器
1952	感应增强器 II
1955	引力ECM I
1956	雷达ECM I
1957	多谱式ECM I
1958	光雷达ECM I
1963	远程感应增强器 I
1964	远程感应增强器 II
1968	远程感应抑阻器 I
1969	远程感应抑阻器 II
1973	感应增强器 I
1977	索敌计算机 I
1978	索敌计算机 II
1986	信号放大器 I
1987	信号放大器 II
1998	索敌增强器 I
1999	索敌增强器 II
2001	诱导力场压制
2006	启示级
2007	启示级蓝图
2008	诱导力场导航系统
2009	超级旗舰建造设施
2013	人质
2018	中型电容器电池 I
2019	中型电容器电池蓝图 I
2020	大型电容器电池 I
2021	大型电容器电池蓝图 I
2024	中型电容注电器 II
2025	中型电容注电器蓝图 II
2026	游寇监测阵列 1
2027	游寇监测阵列 2
2028	游寇监测阵列 3
2029	游寇监测阵列 4
2030	游寇监测阵列 5
2031	诱捕阵列 1
2032	电容回充器 II
2033	电容回充器蓝图 II
2034	诱捕阵列 2
2035	诱捕阵列 3
2036	诱捕阵列 4
2037	诱捕阵列 5
2038	货柜扫描器 II
2039	货柜扫描器蓝图 II
2040	矿石勘探阵列 1
2041	矿石勘探阵列 2
2042	矿石勘探阵列 3
2043	矿石勘探阵列 4
2044	矿石勘探阵列 5
2046	损伤控制 I
2047	损伤控制装备蓝图 I
2048	损伤控制 II
2049	损伤控制装备蓝图 II
2050	吉斯塔姆多谱式护盾增强器 C型
2053	勘探网络 1
2054	勘探网络 2
2055	勘探网络 3
2056	勘探网络 4
2057	勘探网络 5
2058	量子通量发生器 1
2059	量子通量发生器 2
2060	量子通量发生器 3
2061	量子通量发生器 4
2062	量子通量发生器 5
2073	微生物
2074	扎茨玛特
2075	统一控股集团指挥官准入钥匙
2076	加速轨道钥匙
2078	微风级
2082	格鲁汀 核心加强植入体 CA-1
2083	彩虹女神探针发射器原型机
2093	被绑架的公民
2100	菲诺德的DNA
2103	远距索敌计算机 I
2104	远距索敌计算机 II
2108	索敌扰断器 I
2109	索敌扰断器 II
2117	脉冲干扰器 II
2118	脉冲干扰器蓝图 II
2161	磨难级
2162	磨难级蓝图
2173	渗透者 I
2174	渗透者蓝图 I
2175	渗透者 II
2176	渗透者蓝图 II
2178	古斯塔斯星爆超大型巡航导弹
2179	萨沙怒火巡航导弹蓝图
2180	古斯塔斯鞭挞超大型巡航导弹
2182	古斯塔斯炼狱超大型巡航导弹
2183	战锤 I
2184	战锤蓝图 I
2185	战锤 II
2186	战锤蓝图 II
2188	古斯塔斯雷神超大型巡航导弹
2193	执政官 I
2194	执政官蓝图 I
2195	执政官 II
2196	执政官蓝图 II
2197	环保采矿设备
2198	一箱环保采矿设备
2199	原型防弹衣织布
2200	一箱原型防弹衣织布
2201	反暴特勤组
2202	反暴特勤组
2203	侍僧 I
2204	侍僧蓝图 I
2205	侍僧 II
2206	侍僧蓝图 II
2211	萨沙独裁者鱼雷蓝图
2215	艾玛TIL-1A关联芯片
2216	一箱艾玛TIL-1A关联芯片
2217	传教士
2219	一大群民工与家属
2220	民工与家属
2221	便携式电磁脉冲武器
2226	姐妹会谈判专家
2239	奥拉·马杜萨里
2240	哈罗肯·伊珂罗
2244	法娅·阿德什
2250	脑电波规律扫描器
2254	温和行星指挥中心
2256	温和行星发射平台
2257	冰体行星储藏设施
2267	基础金属
2268	水基液体
2270	贵金属
2272	重金属
2280	链接
2281	多谱式护盾增强器 II
2282	多谱式护盾增强器蓝图 II
2286	浮游生物群
2287	复杂有机生命体
2288	碳化合物
2289	爆炸护盾增强器 I
2290	爆炸护盾增强器蓝图 I
2291	动能护盾增强器 I
2292	动能护盾增强器蓝图 I
2293	电磁护盾增强器 I
2294	电磁护盾增强器蓝图 I
2295	热能护盾增强器 I
2296	热能护盾增强器蓝图 I
2297	爆炸护盾增强器 II
2298	爆炸护盾增强器蓝图 II
2299	动能护盾增强器 II
2300	动能护盾增强器蓝图 II
2301	电磁护盾增强器 II
2302	电磁护盾增强器蓝图 II
2303	热能护盾增强器 II
2304	热能护盾增强器蓝图 II
2305	自养生物
2306	非立方晶体
2307	长英矿物岩浆
2308	悬浮等离子
2309	离子溶液
2310	稀有气体
2311	活性气体
2312	超张力塑料
2317	氧化物
2319	培养基
2321	聚芳酰胺
2327	微纤维护盾
2328	水冷CPU
2329	生物电池
2331	护盾能源继电器 I
2332	护盾能源继电器蓝图 I
2333	测量扫描器 II
2334	测量扫描器蓝图 II
2341	被动锁定器 II
2342	被动锁定器蓝图 II
2344	凝缩液
2345	监控无人机
2346	合成神经键
2348	凝胶基质生物胶
2349	超级计算机
2351	灵巧单元建筑模块
2352	核反应堆
2354	控制面板
2355	小型结构维修器 II
2356	小型结构维修器蓝图 II
2358	生物技术研究报告
2360	工业炸药
2361	密封薄膜
2363	散热槽 I
2364	散热槽 II
2366	危险物探测系统
2367	冷冻保存防腐剂
2368	损坏的有机砂浆喷注器
2369	损坏的无菌管道
2371	损坏的纳米工厂
2373	损坏的自协调能源核心
2374	损坏的递推计算模块
2375	损坏的广播节点
2376	损坏的反破损快速反应无人机
2377	损坏的湿件主机
2389	等离子体团
2390	电解物
2392	氧化剂
2393	细菌
2395	蛋白质
2396	生物燃料
2397	工业纤维
2398	反应金属
2399	稀有金属
2400	有毒金属
2401	手性结构
2403	高级行星学
2404	轻型导弹发射器 II
2405	轻型导弹发射器蓝图 II
2406	行星学
2409	贫瘠行星水基液体采集器
2410	重型导弹发射器 II
2411	重型导弹发射器蓝图 II
2412	温和行星水基液体采集器
2413	风暴行星水基液体采集器
2414	海洋行星水基液体采集器
2415	冰体行星水基液体采集器
2416	气体行星水基液体采集器
2417	等离子行星悬浮等离子采集器
2418	熔岩行星悬浮等离子采集器
2419	风暴行星悬浮等离子采集器
2420	鱼雷发射器 II
2421	鱼雷发射器蓝图 II
2422	风暴行星离子溶液采集器
2423	冰体行星稀有气体采集器
2424	气体行星离子溶液采集器
2425	风暴行星稀有气体采集器
2426	气体行星稀有气体采集器
2427	气体行星活性气体采集器
2428	熔岩行星基础金属采集器
2429	等离子行星基础金属采集器
2430	贫瘠行星基础金属采集器
2431	风暴行星基础金属采集器
2432	冰体行星微生物采集器
2433	气体行星基础金属采集器
2434	等离子行星贵金属采集器
2435	贫瘠行星贵金属采集器
2436	胡蜂 II
2437	胡蜂蓝图 II
2438	冰体行星浮游生物群采集器
2439	熔岩行星重金属采集器
2440	等离子行星重金属采集器
2441	冰体行星重金属采集器
2442	熔岩行星非立方晶体采集器
2443	等离子行星非立方晶体采集器
2444	蛮妖 I
2445	蛮妖蓝图 I
2446	蛮妖 II
2447	蛮妖蓝图 II
2448	熔岩行星长英质岩浆采集器
2449	贫瘠行星微生物采集器
2450	温和行星微生物采集器
2451	海洋行星微生物采集器
2452	海洋行星浮游生物群采集器
2453	温和行星复杂生物采集器
2454	地精灵 I
2455	地精灵蓝图 I
2456	地精灵 II
2457	地精灵蓝图 II
2458	海洋行星复杂生物采集器
2459	贫瘠行星碳化合物采集器
2460	温和行星碳化合物采集器
2461	海洋行星碳化合物采集器
2462	温和行星自养生物采集器
2463	纳米体
2464	大黄蜂 I
2465	大黄蜂蓝图 I
2466	大黄蜂 II
2467	大黄蜂蓝图 II
2469	熔岩行星基础工业设施
2470	熔岩行星高级工业设施
2471	等离子行星基础工业设施
2472	等离子行星高级工业设施
2473	贫瘠行星基础工业设施
2474	贫瘠行星高级工业设施
2475	贫瘠行星高科技工厂
2476	狂战士 I
2477	狂战士蓝图 I
2478	狂战士 II
2479	狂战士蓝图 II
2480	温和行星高级工业设施
2481	温和行星基础工业设施
2482	温和行星高科技工厂
2483	风暴行星基础工业设施
2484	风暴行星高级工业设施
2485	海洋行星高级工业设施
2486	武士 I
2487	武士蓝图 I
2488	武士 II
2489	武士蓝图 II
2490	海洋行星基础工业设施
2491	冰体行星高级工业设施
2492	气体行星基础工业设施
2493	冰体行星基础工业设施
2494	气体行星高级工业设施
2495	行星统筹管理学
2505	指挥中心升级理论
2506	雷神鱼雷
2507	雷神鱼雷蓝图
2508	星爆鱼雷
2509	星爆鱼雷蓝图
2510	炼狱鱼雷
2511	炼狱鱼雷蓝图
2512	雷神火箭
2513	雷神火箭蓝图
2514	炼狱火箭
2515	炼狱火箭蓝图
2516	星爆火箭
2517	星爆火箭蓝图
2524	贫瘠行星指挥中心
2525	海洋行星指挥中心
2529	爆炸护盾增效器 I
2530	爆炸护盾增效器蓝图 I
2531	爆炸护盾增效器 II
2532	爆炸护盾增效器蓝图 II
2533	冰体行星指挥中心
2534	气体行星指挥中心
2535	海洋行星储藏设施
2536	气体行星储藏设施
2537	热能护盾增效器 I
2538	热能护盾增效器蓝图 I
2539	热能护盾增效器 II
2540	热能护盾增效器蓝图 II
2541	贫瘠行星储藏设施
2542	海洋行星发射平台
2543	气体行星发射平台
2544	贫瘠行星发射平台
2545	动能护盾增效器 I
2546	动能护盾增效器蓝图 I
2547	动能护盾增效器 II
2548	动能护盾增效器蓝图 II
2549	熔岩行星指挥中心
2550	风暴行星指挥中心
2551	等离子行星指挥中心
2552	冰体行星发射平台
2553	电磁护盾增效器 II
2554	电磁护盾增效器蓝图 II
2555	熔岩行星发射平台
2556	等离子行星发射平台
2557	风暴行星发射平台
2558	熔岩行星储藏设施
2559	光雷达ECM II
2560	等离子行星储藏设施
2561	风暴行星储藏设施
2562	温和行星储藏设施
2563	磁力ECM II
2567	多谱式ECM II
2571	引力ECM II
2575	雷达ECM II
2589	格鲁汀 核心加强植入体 CA-2
2595	加密的数据芯片
2596	装箱的衣物
2597	装箱的指挥报告
2598	装箱的冷却剂
2599	装箱的企业文档
2601	装箱的数据单
2602	装箱的钻机零件
2603	纳米纤维内部构架 I
